8,50;0,80;-0,60;0,00
8,60;0,73;-0,68;0,00
8,70;0,66;-0,75;0,00
8,80;0,58;-0,81;0,00
8,90;0,50;-0,87;0,00
9,00;0,41;-0,91;0,00
9,10;0,32;-0,95;0,00
9,20;0,22;-0,97;0,00
9,30;0,12;-0,99;0,00
9,40;0,02;-1,00;0,00
9,50;-0,08;-1,00;0,00
9,60;-0,17;-0,98;0,00
9,70;-0,27;-0,96;0,00
9,80;-0,37;-0,93;0,00
9,90;-0,46;-0,89;0,00
10,00;-0,54;-0,84;0,00
10,10;-0,63;-0,78;0,00
10,20;-0,70;-0,71;0,00
10,30;-0,77;-0,64;0,00
10,40;-0,83;-0,56;0,00
10,50;-0,88;-0,48;0,00
10,60;-0,92;-0,39;0,00
10,70;-0,96;-0,29;0,00
10,80;-0,98;-0,19;0,00
10,90;-1,00;-0,10;0,00
11,00;-1,00;0,00;0,00
11,10;-0,99;0,10;0,00
11,20;-0,98;0,20;0,00
11,30;-0,95;0,30;0,00
11,40;-0,92;0,39;0,00
11,50;-0,88;0,48;0,00
11,60;-0,82;0,57;0,00
11,70;-0,76;0,65;0,00
11,80;-0,69;0,72;0,00
11,90;-0,62;0,79;0,00
12,00;-0,54;0,84;0,00
12,10;-0,45;0,89;0,00
12,20;-0,36;0,93;0,00
12,30;-0,26;0,96;0,00
12,40;-0,17;0,99;0,00
12,50;-0,07;1,00;0,00
12,60;0,03;1,00;0,00
12,70;0,13;0,99;0,00
12,80;0,23;0,97;0,00
12,90;0,33;0,94;0,00
13,00;0,42;0,91;0,00
13,10;0,51;0,86;0,00
13,20;0,59;0,81;0,00
13,30;0,67;0,74;0,00
13,40;0,74;0,67;0,00
13,50;0,80;0,59;0,00
13,60;0,86;0,51;0,00
13,70;0,91;0,42;0,00
13,80;0,94;0,33;0,00
13,90;0,97;0,23;0,00
14,00;0,99;0,14;0,00
14,10;1,00;0,04;0,00
14,20;1,00;-0,06;0,00
14,30;0,99;-0,16;0,00
14,40;0,97;-0,26;0,00
14,50;0,93;-0,35;0,00
14,60;0,89;-0,45;0,00
14,70;0,85;-0,53;0,00
14,80;0,79;-0,62;0,00
14,90;0,72;-0,69;0,00
15,00;0,65;-0,76;0,00
15,10;0,57;-0,82;0,00
15,20;0,49;-0,87;0,00
15,30;0,40;-0,92;0,00
15,40;0,30;-0,95;0,00
15,50;0,21;-0,98;0,00
15,60;0,11;-0,99;0,00
15,70;0,01;-1,00;0,00
15,80;-0,09;-1,00;0,00
15,90;-0,19;-0,98;0,00
16,00;-0,29;-0,96;0,00
16,10;-0,38;-0,92;0,00
16,20;-0,47;-0,88;0,00
16,30;-0,56;-0,83;0,00
16,40;-0,64;-0,77;0,00
16,50;-0,71;-0,70;0,00
16,60;-0,78;-0,63;0,00
16,70;-0,84;-0,55;0,00
16,80;-0,89;-0,46;0,00
16,90;-0,93;-0,37;0,00
17,00;-0,96;-0,28;0,00
17,10;-0,98;-0,18;0,00
17,20;-1,00;-0,08;0,00
17,30;-1,00;0,02;0,00
17,40;-0,99;0,12;0,00
17,50;-0,98;0,22;0,00
17,60;-0,95;0,32;0,00
17,70;-0,91;0,41;0,00
17,80;-0,87;0,50;0,00
17,90;-0,81;0,58;0,00
18,00;-0,75;0,66;0,00
18,10;-0,68;0,73;0,00
18,20;-0,60;0,80;0,00
18,30;-0,52;0,85;0,00
18,40;-0,43;0,90;0,00
18,50;-0,34;0,94;0,00
18,60;-0,25;0,97;0,00
18,70;-0,15;0,99;0,00
18,80;-0,05;1,00;0,00
18,90;0,05;1,00;0,00
19,00;0,15;0,99;0,00
19,10;0,25;0,97;0,00
19,20;0,34;0,94;0,00
19,30;0,44;0,90;0,00
19,40;0,52;0,85;0,00
19,50;0,61;0,80;0,00
19,60;0,68;0,73;0,00
19,70;0,75;0,66;0,00
19,80;0,81;0,58;0,00
19,90;0,87;0,50;0,00
20,00;0,91;0,41;0,00
20,10;0,95;0,31;0,00
20,20;0,98;0,22;0,00
20,30;0,99;0,12;0,00
20,40;1,00;0,02;0,00
20,50;1,00;-0,08;0,00
20,60;0,98;-0,18;0,00
20,70;0,96;-0,28;0,00
20,80;0,93;-0,37;0,00
20,90;0,89;-0,46;0,00
